product_id,product_name,category,cost_price,base_price,current_price,competitor_price,demand_level,inventory_level,season,quantity_sold,optimal_selling_price
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,102.78,85.74,2,72,2,41,94.29
2,Smart Fitness Watch,Electronics,30.0,69.99,75.48,61.32,2,22,1,28,69.85
3,Ergonomic Office Chair,Furniture,75.0,179.99,169.86,180.28,1,65,4,38,181.82
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,54.07,65.49,2,102,3,48,62.19
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,23.27,28.42,2,38,4,61,29.34
6,Organic Cotton Running T-Shirt,Apparel,6.5,19.99,20.4,21.83,2,152,1,41,20.73
7,Compact Cold Brew Coffee Maker,Home & Kitchen,15.0,39.99,43.77,38.53,2,227,3,28,37.04
8,Ultra-Slim 7-in-1 USB-C Hub,Accessories,12.0,34.99,31.81,32.13,2,35,2,46,35.54
9,Adjustable Aluminum Laptop Stand,Accessories,11.0,29.99,32.19,28.91,2,228,3,36,27.78
10,Water-Resistant Outdoor Backpack,Travel,22.0,54.99,56.86,58.32,2,33,2,45,59.14
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,100.67,92.34,2,84,2,40,96.93
2,Smart Fitness Watch,Electronics,30.0,69.99,73.85,64.3,1,95,4,25,66.8
3,Ergonomic Office Chair,Furniture,75.0,179.99,169.59,203.91,3,95,2,64,207.7
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,59.5,55.76,1,158,3,23,55.38
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,24.63,25.62,2,50,4,51,26.76
6,Organic Cotton Running T-Shirt,Apparel,6.5,19.99,18.43,20.75,3,123,1,59,21.7
7,Compact Cold Brew Coffee Maker,Home & Kitchen,15.0,39.99,40.76,39.61,2,156,1,36,39.84
8,Ultra-Slim 7-in-1 USB-C Hub,Accessories,12.0,34.99,37.68,37.62,3,102,1,46,38.37
9,Adjustable Aluminum Laptop Stand,Accessories,11.0,29.99,27.94,25.52,2,199,3,48,26.51
10,Water-Resistant Outdoor Backpack,Travel,22.0,54.99,55.07,48.5,2,230,2,42,49.25
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,93.05,107.86,2,214,1,37,96.95
2,Smart Fitness Watch,Electronics,30.0,69.99,64.56,67.11,3,221,3,56,68.72
3,Ergonomic Office Chair,Furniture,75.0,179.99,170.66,183.63,1,202,4,41,170.18
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,55.5,62.87,3,57,3,48,65.81
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,25.52,28.47,3,208,2,59,26.87
6,Organic Cotton Running T-Shirt,Apparel,6.5,19.99,19.48,22.39,2,78,2,41,20.95
7,Compact Cold Brew Coffee Maker,Home & Kitchen,15.0,39.99,36.5,34.24,2,165,2,55,37.69
8,Ultra-Slim 7-in-1 USB-C Hub,Accessories,12.0,34.99,31.9,30.45,1,99,1,30,31.2
9,Adjustable Aluminum Laptop Stand,Accessories,11.0,29.99,28.66,29.86,2,200,4,53,29.83
10,Water-Resistant Outdoor Backpack,Travel,22.0,54.99,53.97,48.3,2,105,4,55,55.45
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,98.21,110.9,1,182,1,33,93.39
2,Smart Fitness Watch,Electronics,30.0,69.99,64.52,63.51,2,50,4,57,71.44
3,Ergonomic Office Chair,Furniture,75.0,179.99,168.6,177.97,3,34,4,79,210.38
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,61.82,60.72,1,38,2,22,58.65
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,24.92,22.84,2,30,2,35,25.34
6,Organic Cotton Running T-Shirt,Apparel,6.5,19.99,19.05,21.69,2,123,4,61,21.91
7,Compact Cold Brew Coffee Maker,Home & Kitchen,15.0,39.99,37.23,37.55,3,163,1,58,42.1
8,Ultra-Slim 7-in-1 USB-C Hub,Accessories,12.0,34.99,35.01,38.69,1,145,1,25,34.79
9,Adjustable Aluminum Laptop Stand,Accessories,11.0,29.99,27.4,26.1,3,118,1,64,30.68
10,Water-Resistant Outdoor Backpack,Travel,22.0,54.99,49.93,48.09,2,159,3,41,52.23
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,108.68,91.12,2,76,3,29,96.44
2,Smart Fitness Watch,Electronics,30.0,69.99,67.19,66.13,3,33,1,59,77.11
3,Ergonomic Office Chair,Furniture,75.0,179.99,197.93,206.78,1,69,3,26,175.97
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,56.92,56.12,2,154,3,43,58.44
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,25.55,28.64,2,17,3,38,27.77
6,Organic Cotton Running T-Shirt,Apparel,6.5,19.99,21.5,18.58,3,205,2,55,19.42
7,Compact Cold Brew Coffee Maker,Home & Kitchen,15.0,39.99,40.83,42.6,1,177,3,22,39.24
8,Ultra-Slim 7-in-1 USB-C Hub,Accessories,12.0,34.99,31.85,36.4,3,26,1,60,39.82
9,Adjustable Aluminum Laptop Stand,Accessories,11.0,29.99,27.78,34.31,1,128,4,36,32.2
10,Water-Resistant Outdoor Backpack,Travel,22.0,54.99,57.09,49.2,1,109,2,28,49.37
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,90.83,95.93,3,235,1,62,98.24
2,Smart Fitness Watch,Electronics,30.0,69.99,64.43,75.87,3,119,2,66,79.31
3,Ergonomic Office Chair,Furniture,75.0,179.99,170.51,161.77,3,60,4,81,195.26
